signal_id,raw_id
1,47
2,49
3,25
4,22
5,19
6,17
7,12
8,10
9,7
10,6
11,5
12,1
13,45
14,42
15,34
16,134
17,127
18,116
19,124
20,125
21,118
22,117
23,115
24,114
25,112
26,111
27,108
28,109
29,113
30,110
31,105
32,158
33,156
34,154
35,158
36,156
37,154
38,197
39,201
40,199
41,234
42,226
43,221
44,219
45,215
46,135
47,140
48,141
49,406
50,403
51,397
52,392
53,387
54,386
55,403
56,397
57,395
58,392
59,386
60,456
61,455
62,454
63,452
64,450
65,448
66,456
67,455
68,454
69,452
70,450
71,448
72,475
73,472
74,471
75,534
76,533
77,532
78,531
79,530
80,464
81,460
82,458
83,447
84,460
85,464
86,463
87,461
88,459
89,458
90,861
91,860
92,859
