signal_id,raw_id
1,47
2,49
3,25
4,22
5,19
6,17
7,12
8,10
9,7
10,6
11,5
12,1
13,45
14,42
15,34
16,134
17,127
18,116
19,124
20,125
21,118
22,117
23,115
24,114
25,112
26,111
27,108
28,109
29,113
30,110
31,105
32,158
33,156
34,154
35,158
36,156
37,154
38,197
39,201
40,199
41,234
42,226
43,221
44,219
45,215
46,135
47,140
48,141
49,406
50,403
51,397
52,392
53,387
54,386
55,403
56,397
57,395
58,392
59,386
60,456
61,455
62,454
63,452
64,450
65,448
66,456
67,455
68,454
69,452
70,450
71,448
72,475
73,472
74,471
75,534
76,533
77,532
78,531
79,530
80,464
81,460
82,458
83,447
84,460
85,464
86,463
87,461
88,459
89,458
90,861
91,860
92,859
93,1021
94,1020
95,1019
100,1127
101,1124
102,1123
103,1121
104,1181
105,1180
106,1208
107,1206
108,613
109,612
110,611
111,610
112,609
113,1237
114,1236
115,1235
116,1232
117,1231
118,1267
119,1264
120,1263
121,1294
122,1337
123,1364
124,1361
125,1365
126,1362
127,1364
128,1361
134,1457
135,1511
136,1510
137,1504
138,1503
139,1502
140,1433
141,1431
142,1430
143,1428
144,1530
145,1529
146,1528
147,1527
148,1548
149,1547
150,1545
151,1573
152,1570
153,1567
154,1564
155,1583
156,1578
157,1601
158,1600
159,1646
160,1644
161,1674
162,1728
163,1747
164,1746
165,1745
166,1768
167,1763
168,1762
169,1776
170,1773
171,1769
172,1800
173,1798
174,1794
175,1816
176,1812
177,1807
178,1821
179,1819
180,1817
181,1833
182,1829
183,1821
184,1819
185,1817
186,1847
187,1846
188,1845
189,1843
190,1821
191,1819
192,1817
193,1857
194,1856
195,1855
196,1864
197,1886
198,1885
199,1883
200,1882
201,1879
202,1903
203,1902
204,1900
205,1864
206,1957
207,1956
208,1954
209,1994
210,1993
211,1992
212,1991
213,1962
214,1957
215,1956
216,1954
217,2032
218,2031
219,2029
