id,started_at,finished_at,source_count,raw_item_count,signal_count,status,error
14,2026-09-08T12:03:53.352171+00:00,2026-09-08T12:03:53.354103+00:00,15,8,0,ok,
15,2026-09-08T12:06:05.960478+00:00,2026-09-08T12:06:05.961698+00:00,15,4,0,ok,
16,2026-09-08T12:10:52.164251+00:00,2026-09-08T12:10:52.164920+00:00,18,13,0,ok,
17,2026-09-08T13:31:39.743859+00:00,2026-09-08T13:31:39.745431+00:00,15,34,0,ok,
18,2026-09-08T13:45:04.046187+00:00,2026-09-08T13:45:04.047424+00:00,15,11,0,ok,
19,2026-09-08T13:59:45.511424+00:00,2026-09-08T13:59:45.511820+00:00,3,4,0,ok,
20,2026-09-08T14:00:49.385122+00:00,2026-09-08T14:00:49.386563+00:00,15,10,0,ok,
21,2026-09-08T16:33:54.490791+00:00,2026-09-08T16:33:54.491641+00:00,15,62,0,ok,
22,2026-09-08T17:01:35.975254+00:00,2026-09-08T17:01:35.976533+00:00,15,12,0,ok,
23,2026-09-08T17:46:00.777307+00:00,2026-09-08T17:46:00.778581+00:00,15,15,0,ok,
24,2026-09-10T10:24:34.412192+00:00,,0,0,0,running,
25,2026-09-10T10:26:09.248747+00:00,2026-09-10T10:31:24.286315+00:00,18,160,0,ok,
26,2026-09-10T10:26:21.528117+00:00,,0,0,0,running,
27,2026-09-10T10:28:53.727468+00:00,2026-09-10T10:28:55.753098+00:00,1,25,0,ok,
28,2026-09-10T11:19:25.991968+00:00,2026-09-10T11:19:25.993748+00:00,15,12,0,ok,
29,2026-09-11T02:05:50.820240+00:00,2026-09-11T02:05:50.821396+00:00,15,160,0,ok,
30,2026-09-11T03:05:41.955246+00:00,2026-09-11T03:05:41.956055+00:00,14,47,0,partial,1 source(s) failed
31,2026-09-11T04:06:44.604545+00:00,2026-09-11T04:06:44.605550+00:00,15,59,0,ok,
32,2026-09-11T05:05:32.307559+00:00,2026-09-11T05:05:32.308413+00:00,15,30,0,ok,
33,2026-09-11T06:06:17.083521+00:00,2026-09-11T06:06:17.084519+00:00,15,22,0,ok,
34,2026-09-11T07:06:07.908366+00:00,2026-09-11T07:06:07.909146+00:00,15,28,0,ok,
35,2026-09-11T08:06:23.686797+00:00,2026-09-11T08:06:23.688031+00:00,15,29,0,ok,
36,2026-09-11T09:06:08.438138+00:00,2026-09-11T09:06:08.439395+00:00,15,28,0,ok,
37,2026-09-11T10:06:13.819718+00:00,2026-09-11T10:06:13.820682+00:00,15,42,0,ok,
38,2026-09-11T10:13:51.570873+00:00,2026-09-11T10:13:51.571232+00:00,3,27,0,ok,
39,2026-09-11T11:40:21.528837+00:00,2026-09-11T11:40:22.704707+00:00,1,0,0,ok,
40,2026-09-11T12:11:27.384860+00:00,2026-09-11T12:11:27.385997+00:00,11,3,0,partial,4 source(s) failed
41,2026-09-11T13:06:24.647425+00:00,2026-09-11T13:06:24.648779+00:00,15,50,0,ok,
42,2026-09-11T13:12:11.376897+00:00,2026-09-11T13:12:11.377751+00:00,3,18,0,ok,
43,2026-09-11T14:05:37.586446+00:00,2026-09-11T14:05:37.587699+00:00,15,24,0,ok,
44,2026-09-11T16:05:38.280139+00:00,2026-09-11T16:05:38.281829+00:00,15,42,0,ok,
45,2026-09-11T17:05:38.161706+00:00,2026-09-11T17:05:38.162743+00:00,15,22,0,ok,
46,2026-09-11T18:05:50.697047+00:00,2026-09-11T18:05:50.697787+00:00,15,18,0,ok,
47,2026-09-11T19:10:04.558121+00:00,2026-09-11T19:10:04.559206+00:00,15,22,0,ok,
48,2026-09-11T20:05:23.722984+00:00,2026-09-11T20:05:23.724579+00:00,15,12,0,ok,
49,2026-09-11T21:05:26.427182+00:00,2026-09-11T21:05:26.428616+00:00,15,22,0,ok,
50,2026-09-11T22:05:43.759475+00:00,2026-09-11T22:05:43.760959+00:00,15,20,0,ok,
